process,lemma,nova_label,confidence,frequency
pop,pop,NOVA 1,0.4152143,359
squash,squash,NOVA 3,0.7278615,357
move,move,NOVA 1,0.4670903,341
soften,soften,NOVA 4,0.441255,332
blanch,blanch,NOVA 3,0.7278615,328
raise,raise,NOVA 2,0.38246244,328
deglaze,deglaze,NOVA 3,0.79944307,325
pierce,pierce,NOVA 1,0.20280114,315
absorbed,absorb,NOVA 4,0.41743103,304
stream,stream,NOVA 4,0.39214328,304
assemble,assemble,NOVA 4,0.50498277,299
stack,stack,NOVA 1,0.31805176,285
moisten,moisten,NOVA 4,0.46032512,284
ice,ice,NOVA 3,0.43195477,284
replace,replace,NOVA 4,0.39678603,276
foil,foil,NOVA 1,0.34657547,273
pack,pack,NOVA 2,0.3303597,273
tear,tear,NOVA 1,0.43308467,270
square,square,NOVA 2,0.4215039,269
caramelized,caramelize,NOVA 3,0.8464666,264
smoke,smoke,NOVA 4,0.57745534,264
yield,yield,NOVA 4,0.45322013,249
throw,throw,NOVA 1,0.52172565,249
save,save,NOVA 2,0.39154968,246
tie,tie,NOVA 1,0.4250776,243
pick,pick,NOVA 2,0.40985072,241
invert,invert,NOVA 4,0.46990788,236
sieve,sieve,NOVA 1,0.5336762,234
hold,hold,NOVA 2,0.38246244,233
swirl,swirl,NOVA 3,0.57854617,233
poke,poke,NOVA 1,0.3948643,226
charred,char,NOVA 2,0.12241541,216
floured,flour,NOVA 3,0.51611155,216
sizzle,sizzle,NOVA 3,0.8254789,214
wet,wet,NOVA 1,0.30200934,210
dump,dump,NOVA 1,0.49289858,205
mound,mound,NOVA 3,0.4299379,205
frost,frost,NOVA 1,0.2903504,200
test,test,NOVA 2,0.24075192,195
thaw,thaw,NOVA 3,0.76309395,193
distribute,distribute,NOVA 4,0.50498277,193
wait,wait,NOVA 1,0.43968385,190
sit,sit,NOVA 1,0.35039565,185
glaze,glaze,NOVA 4,0.38029954,185
scrub,scrub,NOVA 4,0.45077986,184
carve,carve,NOVA 3,0.40291062,183
drip,drip,NOVA 4,0.4331666,181
overcook,overcook,NOVA 3,0.7278615,178
stew,stew,NOVA 3,0.753448,178
start,start,NOVA 1,0.52172565,165
style,style,NOVA 2,0.4134057,159
select,select,NOVA 2,0.25253275,155
griddle,griddle,NOVA 3,0.70257926,154
unroll,unroll,NOVA 1,0.13552083,153
insert,insert,NOVA 2,0.16674379,150
sweat,sweat,NOVA 2,0.4271606,150
tuck,tuck,NOVA 1,0.19163993,149
meld,meld,NOVA 4,0.4616019,146
unwrap,unwrap,NOVA 3,0.56037533,144
scorching,scorch,NOVA 4,0.46032512,141
caramelize,caramelize,NOVA 3,0.8464666,135
defrost,defrost,NOVA 3,0.70257926,132
splutter,splutter,NOVA 3,0.5367633,132
scramble,scramble,NOVA 4,0.26971498,130
thicken,thicken,NOVA 3,0.79944307,128
