Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Vitamin D (D2 + D3),Cholesterol,"Fatty acids, total saturated",Potassium,Energy,novaclass
14.19,18.0,9.64,7.71,0.0,77.0,1.22,870.0,2.8,13.0,2.381,69.0,262.0,3
14.19,18.0,9.64,7.71,0.0,77.0,1.22,870.0,2.8,13.0,2.381,69.0,262.0,3
24.58,12.37,0.0,0.0,0.0,84.0,1.51,918.0,2.2,82.0,2.791,447.0,217.0,3
19.08,11.91,0.0,0.0,0.0,16.0,1.48,89.0,13.8,62.0,2.924,344.0,189.0,1
23.19,6.3,0.0,0.0,0.0,241.0,2.04,379.0,7.3,79.0,1.857,194.0,156.0,3
15.31,1.54,0.0,0.0,0.0,28.0,0.22,287.0,1.2,52.0,0.273,187.0,79.0,1
18.48,9.47,0.0,0.0,0.0,22.0,0.6,65.0,11.0,50.0,3.509,381.0,164.0,1
21.62,5.93,0.0,0.0,0.0,36.0,0.56,46.0,9.0,45.0,1.26,423.0,146.0,1
62.88,13.5,0.0,0.0,0.0,21.0,1.17,230.0,33.4,141.0,2.485,1123.0,390.0,3
20.55,5.48,0.0,0.0,0.0,220.0,0.64,408.0,15.0,59.0,1.009,336.0,137.0,3
18.28,4.32,0.0,0.0,0.0,11.0,0.85,784.0,17.1,23.0,0.929,175.0,117.0,3
24.62,11.45,0.0,0.0,0.0,382.0,2.92,505.0,4.8,142.0,1.528,397.0,208.0,3
24.62,11.45,0.0,0.0,0.0,382.0,2.92,505.0,4.8,142.0,1.528,397.0,208.0,3
24.58,12.37,0.0,0.0,0.0,84.0,1.51,918.0,2.2,82.0,2.791,447.0,217.0,3
36.94,11.76,0.0,0.0,0.0,77.0,2.67,610.0,6.9,103.0,2.044,642.0,263.0,3
24.4,0.49,0.0,0.0,0.0,4.0,0.77,45.0,1.7,39.0,0.172,441.0,109.0,1
29.16,6.12,0.0,0.0,0.0,10.0,1.27,49.0,7.1,48.0,1.571,315.0,180.0,3
25.87,1.56,0.0,0.0,0.0,11.0,1.52,340.0,4.7,29.0,0.364,234.0,124.0,3
25.51,0.82,0.0,0.0,0.0,11.0,1.53,338.0,4.5,30.0,0.234,237.0,116.0,3
24.6,17.9,4.0,0.0,0.0,275.0,11.88,1500.0,2.9,588.0,4.06,181.0,264.0,3
15.58,1.38,3.08,0.0,0.0,32.0,0.68,44.0,0.0,233.0,0.358,246.0,92.0,1
59.06,5.23,11.68,0.0,0.0,122.0,2.58,608.0,0.0,883.0,1.357,933.0,349.0,3
17.9,1.59,3.54,0.0,0.0,37.0,0.74,313.0,0.0,268.0,0.411,226.0,106.0,3
14.67,0.96,3.57,0.0,0.0,39.0,1.62,601.0,0.0,30.0,0.187,46.0,86.0,1
18.34,1.2,4.46,0.0,0.0,49.0,1.82,751.0,0.0,38.0,0.234,52.0,108.0,3
17.88,0.74,0.0,0.0,0.0,91.0,0.5,395.0,0.0,97.0,0.201,259.0,83.0,3
11.9,2.24,3.69,0.0,0.0,26.0,3.95,286.0,0.0,28.0,0.425,320.0,86.0,1
5.71,1.71,2.72,0.62,0.0,59.0,4.61,85.0,0.0,40.0,0.474,156.0,51.0,1
7.67,2.68,4.25,0.0,0.0,49.0,7.28,122.0,0.0,60.0,0.686,249.0,74.0,3
9.2,2.76,4.38,1.0,0.0,95.0,7.43,605.0,0.0,64.0,0.764,251.0,82.0,3
51.7,3.44,0.0,0.0,0.0,367.0,5.39,1967.0,0.0,638.0,0.476,203.0,253.0,3
20.42,1.36,0.0,0.0,0.0,145.0,2.13,777.0,0.0,252.0,0.188,80.0,100.0,3
17.79,14.56,0.59,0.23,0.1,23.0,2.06,120.0,0.3,99.0,5.641,285.0,210.0,3
5.06,0.01,3.64,3.64,0.0,43.0,0.78,7851.0,0.0,0.0,0.003,288.0,35.0,4
20.86,10.45,0.54,0.43,0.1,240.0,2.3,414.0,4.8,61.0,2.684,341.0,185.0,3
20.86,10.45,0.54,0.43,0.1,240.0,2.3,414.0,4.8,61.0,2.684,341.0,185.0,3
8.73,10.24,9.27,0.34,1.1,19.0,1.0,412.0,0.0,32.0,4.32,172.0,164.0,4
8.73,10.24,9.27,0.34,1.1,19.0,1.0,412.0,0.0,32.0,4.32,172.0,164.0,4
7.62,0.46,15.0,6.25,0.5,13.0,0.39,841.0,0.0,20.0,0.176,90.0,95.0,4
8.73,10.24,9.27,0.34,1.1,19.0,1.0,412.0,0.0,32.0,4.32,172.0,164.0,4
6.08,10.83,23.03,3.81,1.2,29.0,1.1,380.0,0.1,24.0,3.613,124.0,214.0,4
11.94,14.1,21.53,3.26,1.4,127.0,1.4,485.0,0.1,36.0,5.045,182.0,261.0,4
13.49,12.9,25.46,5.24,1.9,123.0,2.25,628.0,0.1,39.0,5.797,184.0,270.0,4
15.21,14.4,19.72,3.6,1.2,179.0,1.02,591.0,0.1,48.0,7.033,223.0,269.0,4
17.0,13.65,18.73,4.18,0.9,163.0,2.09,507.0,0.2,50.0,6.331,241.0,268.0,4
13.03,13.46,15.45,4.51,1.2,78.0,2.17,465.0,0.1,37.0,5.487,178.0,235.0,4
13.07,10.07,28.79,5.22,1.8,74.0,2.53,491.0,0.1,29.0,4.0,183.0,258.0,4
11.34,12.37,17.33,4.0,1.5,46.0,2.99,342.0,0.1,33.0,3.972,188.0,226.0,4
15.68,11.6,22.14,3.67,1.1,87.0,1.73,374.0,0.1,40.0,4.785,225.0,256.0,4
13.94,15.66,13.74,3.52,1.4,35.0,2.8,289.0,0.1,46.0,5.773,192.0,252.0,4
17.19,8.05,19.87,4.68,1.2,95.0,1.37,630.0,0.1,46.0,3.109,226.0,220.0,4
15.38,11.76,22.61,4.99,1.2,92.0,1.32,605.0,0.2,38.0,3.372,256.0,257.0,4
11.85,16.3,38.75,1.97,0.7,142.0,2.41,1268.0,0.3,22.0,10.096,174.0,342.0,4
12.42,11.7,22.46,2.48,1.4,78.0,1.23,650.0,0.0,29.0,2.119,205.0,245.0,4
17.34,4.57,16.78,3.08,0.9,62.0,1.58,427.0,0.1,40.0,0.949,197.0,182.0,4
7.93,12.95,29.71,8.82,1.0,56.0,1.86,628.0,0.4,36.0,3.794,136.0,267.0,4
9.67,24.42,29.99,1.59,0.4,47.0,1.86,814.0,0.3,28.0,7.427,153.0,371.0,4
8.41,17.76,31.25,11.23,1.0,63.0,1.42,737.0,0.2,24.0,5.363,145.0,318.0,4
13.28,20.67,25.28,1.98,0.5,210.0,3.14,668.0,0.4,43.0,8.152,179.0,338.0,4
5.1,1.2,5.5,1.39,1.1,9.0,0.72,106.0,0.0,13.0,0.58,142.0,51.0,3
2.47,2.08,7.74,1.44,1.2,9.0,0.42,20.0,0.0,8.0,0.852,66.0,60.0,3
2.44,2.26,8.18,1.42,1.3,10.0,0.41,15.0,0.0,8.0,0.937,87.0,63.0,3
2.5,1.9,7.3,1.45,1.1,8.0,0.43,26.0,0.0,8.0,0.766,46.0,57.0,3
2.03,6.93,6.36,2.16,1.8,19.0,0.33,38.0,0.0,12.0,2.84,127.0,96.0,3
3.5,2.1,8.72,1.18,0.5,11.0,0.5,26.0,0.0,12.0,0.847,168.0,68.0,3
1.6,0.9,9.2,0.55,1.1,18.0,0.2,25.0,0.0,10.0,0.211,60.0,51.0,3
2.53,1.62,8.94,1.78,1.5,24.0,0.51,36.0,0.0,12.0,0.466,89.0,60.0,3
2.69,2.06,9.08,2.5,2.1,27.0,0.64,38.0,0.1,16.0,0.595,139.0,66.0,3
2.37,1.18,8.79,1.07,0.9,21.0,0.38,35.0,0.0,9.0,0.338,39.0,55.0,3
3.8,1.7,8.89,0.82,0.6,11.0,0.4,235.0,0.0,28.0,0.461,95.0,66.0,3
5.2,3.7,6.4,1.68,0.6,36.0,0.66,25.0,0.2,29.0,1.1,92.0,78.0,3
2.32,1.08,8.76,1.46,1.0,21.0,0.35,21.0,0.0,4.0,0.288,88.0,54.0,3
2.27,1.24,7.94,1.66,0.9,18.0,0.29,19.0,0.0,5.0,0.338,91.0,52.0,3
2.37,0.92,9.57,1.25,1.0,24.0,0.41,23.0,0.0,4.0,0.239,86.0,56.0,3
3.8,1.6,7.5,0.66,0.8,11.0,0.4,276.0,0.0,7.0,0.5,107.0,60.0,3
1.6,1.7,7.2,1.72,1.1,37.0,0.27,16.0,0.1,4.0,0.278,66.0,50.0,3
8.72,8.76,10.94,1.43,1.3,21.0,0.81,355.0,0.2,41.0,3.653,183.0,158.0,4
6.93,8.39,11.24,1.62,1.3,16.0,0.84,271.0,0.2,40.0,4.176,194.0,147.0,4
11.49,9.27,12.32,3.66,1.6,34.0,1.7,517.0,0.1,31.0,3.481,345.0,180.0,4
10.64,6.95,4.68,2.81,0.8,34.0,1.32,293.0,0.1,34.0,2.675,281.0,125.0,4
7.81,7.88,12.95,1.96,1.6,15.0,1.15,555.0,0.2,38.0,3.728,229.0,153.0,4
7.92,7.99,13.12,1.99,1.7,15.0,1.17,563.0,0.2,39.0,3.781,232.0,155.0,4
8.25,5.68,7.06,1.4,1.1,13.0,1.29,265.0,0.1,24.0,2.23,262.0,113.0,4
8.39,2.82,6.46,0.98,1.2,16.0,0.81,312.0,0.0,22.0,1.287,236.0,85.0,4
6.93,8.39,11.24,1.62,1.3,16.0,0.84,271.0,0.2,40.0,4.176,194.0,147.0,4
6.93,8.39,11.24,1.62,1.3,16.0,0.84,271.0,0.2,40.0,4.176,194.0,147.0,4
7.62,6.71,12.28,2.34,0.8,26.0,1.07,560.0,0.1,25.0,2.599,169.0,140.0,4
6.66,4.96,9.75,2.56,1.0,24.0,0.92,337.0,0.1,21.0,2.215,165.0,111.0,4
11.15,7.47,14.04,2.57,1.6,31.0,1.63,386.0,0.1,28.0,2.577,277.0,169.0,4
10.47,7.26,10.4,1.78,1.1,101.0,1.33,539.0,0.5,31.0,2.872,179.0,149.0,4
10.75,8.45,20.07,1.82,1.3,116.0,1.68,373.0,0.1,24.0,3.35,136.0,202.0,4
4.8,2.81,12.72,8.1,1.3,14.0,0.68,133.0,0.0,14.0,1.032,165.0,93.0,4
8.06,7.24,7.06,0.75,0.8,10.0,0.93,304.0,0.1,21.0,2.035,222.0,136.0,4
8.95,5.62,14.81,6.05,1.4,19.0,1.18,200.0,0.1,26.0,2.508,250.0,146.0,4
11.18,10.38,12.8,0.93,0.6,49.0,1.56,296.0,0.2,45.0,4.434,177.0,193.0,4
9.52,3.35,10.71,1.29,1.0,24.0,1.34,253.0,0.1,13.0,1.182,147.0,112.0,4
6.98,6.14,15.08,8.2,1.7,18.0,0.82,817.0,0.1,22.0,2.563,135.0,142.0,4
9.0,5.67,4.71,1.78,0.8,51.0,1.21,270.0,0.1,30.0,2.19,251.0,106.0,4
6.99,4.34,12.56,1.36,0.5,9.0,1.14,279.0,0.0,16.0,1.284,155.0,119.0,4
5.28,2.25,15.23,2.97,0.9,11.0,0.74,416.0,0.2,12.0,0.664,168.0,104.0,4
6.36,6.26,11.91,2.03,1.1,25.0,1.02,375.0,0.0,23.0,1.496,197.0,129.0,4
6.36,6.26,11.91,2.03,1.1,25.0,1.02,375.0,0.0,23.0,1.496,197.0,129.0,4
8.05,3.44,3.01,1.83,0.7,100.0,0.7,184.0,0.0,28.0,1.83,269.0,74.0,4
7.18,2.0,8.83,2.04,1.0,17.0,0.89,243.0,0.0,25.0,0.764,238.0,81.0,4
6.19,6.89,13.27,4.92,1.1,75.0,0.9,382.0,0.1,27.0,2.426,163.0,138.0,4
9.98,8.82,13.46,3.62,1.3,31.0,0.82,425.0,0.2,38.0,2.901,163.0,175.0,4
8.98,9.18,6.8,3.08,0.5,107.0,0.65,280.0,0.2,34.0,3.729,158.0,152.0,4
9.22,5.7,20.87,5.34,1.5,24.0,1.33,272.0,0.2,22.0,1.612,143.0,174.0,4
6.08,4.91,17.88,4.56,1.3,15.0,1.06,366.0,0.1,16.0,1.236,154.0,140.0,4
10.51,9.13,10.64,1.24,1.3,26.0,0.79,439.0,0.2,41.0,3.129,173.0,169.0,4
10.68,10.34,18.22,1.55,1.6,9.0,0.78,442.0,0.0,24.0,2.016,275.0,205.0,4
9.41,5.68,8.42,1.33,1.2,40.0,0.83,262.0,0.1,32.0,1.902,154.0,122.0,4
5.11,6.8,24.43,10.41,1.5,15.0,1.06,401.0,0.1,14.0,1.399,164.0,177.0,4
9.98,8.82,13.46,3.62,1.3,31.0,0.82,425.0,0.2,38.0,2.901,163.0,175.0,4
6.39,6.5,18.48,6.97,1.7,42.0,0.84,215.0,0.2,24.0,2.272,149.0,156.0,4
8.83,7.24,14.94,4.0,0.9,19.0,0.8,237.0,0.1,32.0,2.385,141.0,161.0,4
11.34,10.62,18.36,5.07,1.5,19.0,0.93,394.0,0.1,42.0,2.56,220.0,212.0,4
9.87,7.83,6.58,1.58,1.2,120.0,0.9,429.0,0.1,25.0,2.73,159.0,136.0,4
5.65,1.56,22.46,4.07,0.7,13.0,0.35,333.0,0.0,16.0,0.327,123.0,126.0,4
10.41,3.3,10.43,1.16,0.8,14.0,0.66,336.0,0.1,26.0,0.727,146.0,113.0,4
8.24,2.02,12.12,0.55,1.1,17.0,0.79,199.0,0.0,20.0,0.538,122.0,100.0,4
7.28,8.32,14.97,1.01,0.5,40.0,0.95,394.0,0.3,44.0,2.897,113.0,165.0,4
10.53,3.16,5.98,2.46,0.8,48.0,0.77,250.0,0.0,26.0,0.717,165.0,96.0,4
10.23,4.58,18.76,2.96,1.6,85.0,1.2,386.0,0.1,22.0,1.627,144.0,159.0,4
11.36,13.39,13.58,1.6,0.9,25.0,0.98,307.0,0.4,45.0,5.551,134.0,222.0,4
11.34,5.13,7.61,0.5,0.8,96.0,1.13,425.0,0.1,34.0,2.862,195.0,124.0,4
6.9,2.95,14.51,1.51,1.4,16.0,1.46,253.0,0.1,15.0,0.956,177.0,112.0,4
12.66,5.62,23.0,6.54,2.1,44.0,1.85,248.0,0.0,28.0,1.091,266.0,189.0,4
6.82,1.6,9.99,4.97,1.3,22.0,0.73,345.0,0.0,18.0,0.428,195.0,80.0,4
6.0,1.97,11.95,1.58,0.6,14.0,0.79,332.0,0.1,15.0,0.552,107.0,91.0,4
6.39,2.11,12.48,1.64,1.1,20.0,0.79,256.0,0.1,15.0,0.592,165.0,95.0,4
10.93,2.86,11.64,0.3,0.7,11.0,0.76,99.0,0.0,24.0,0.627,89.0,119.0,4
7.5,3.2,10.92,2.22,1.0,10.0,1.03,302.0,0.1,19.0,0.8,183.0,103.0,4
7.09,2.08,13.36,3.53,1.0,12.0,0.9,250.0,0.0,15.0,0.473,152.0,101.0,4
7.51,1.99,9.08,1.9,1.5,20.0,0.9,223.0,0.0,17.0,0.563,176.0,84.0,4
9.09,4.41,13.14,0.98,1.0,36.0,0.68,401.0,0.1,32.0,1.696,108.0,131.0,4
18.72,2.45,4.51,0.44,0.9,19.0,0.79,91.0,0.1,50.0,0.804,226.0,119.0,4
7.99,5.59,9.94,1.01,1.2,22.0,0.81,351.0,0.1,32.0,3.17,157.0,124.0,4
6.72,0.87,18.03,1.49,1.0,16.0,0.81,352.0,0.0,16.0,0.264,130.0,109.0,4
11.34,2.18,16.21,4.8,0.4,17.0,0.52,297.0,0.0,27.0,0.535,119.0,133.0,4
7.06,1.58,16.98,6.48,1.1,13.0,0.68,148.0,0.0,16.0,0.472,144.0,109.0,4
8.71,5.22,10.58,1.56,1.0,56.0,0.57,51.0,0.1,33.0,2.179,118.0,124.0,4
6.97,3.89,16.32,4.82,1.3,27.0,0.79,326.0,0.1,14.0,0.877,230.0,128.0,4
7.03,1.8,17.98,9.78,1.4,41.0,1.08,134.0,0.0,14.0,0.528,221.0,112.0,4
9.45,1.51,10.54,3.47,1.4,24.0,0.93,181.0,0.1,23.0,0.43,215.0,94.0,4
6.97,3.89,16.32,4.82,1.3,27.0,0.79,326.0,0.1,14.0,0.877,230.0,128.0,4
6.67,3.13,12.24,6.59,1.5,16.0,0.61,296.0,0.1,14.0,1.046,149.0,104.0,4
7.69,5.94,12.6,2.08,0.9,48.0,0.96,308.0,0.2,23.0,1.927,145.0,140.0,4
7.56,11.22,20.81,2.68,2.5,23.0,1.02,583.0,0.2,15.0,2.426,243.0,213.0,4
9.12,2.45,4.3,2.37,0.4,91.0,0.59,249.0,0.2,28.0,1.169,235.0,77.0,4
6.59,1.64,5.34,2.34,0.9,73.0,0.31,237.0,1.0,19.0,0.691,188.0,62.0,4
8.77,8.05,7.68,2.06,1.5,20.0,0.94,492.0,13.1,22.0,1.497,201.0,137.0,4
9.71,1.66,5.72,0.87,1.6,33.0,0.59,873.0,1.8,30.0,0.371,188.0,77.0,4
5.78,2.4,10.2,1.75,1.0,30.0,0.42,411.0,1.1,18.0,0.578,176.0,91.0,4
6.11,3.81,11.27,1.4,1.3,14.0,0.73,428.0,0.2,14.0,1.465,171.0,105.0,4
4.13,6.85,24.53,9.16,1.5,20.0,1.28,175.0,0.1,5.0,2.709,119.0,175.0,4
8.79,6.65,15.86,1.61,2.3,24.0,1.05,465.0,0.1,21.0,1.566,253.0,159.0,4
8.9,7.24,15.4,1.39,1.7,42.0,0.97,524.0,0.2,77.0,1.666,220.0,161.0,4
4.65,4.38,11.78,0.79,1.1,31.0,0.58,395.0,0.2,34.0,1.942,127.0,108.0,4
4.19,1.21,16.35,2.22,1.4,27.0,1.29,447.0,0.0,24.0,0.235,150.0,94.0,4
7.72,2.46,12.2,1.74,1.2,40.0,1.57,270.0,0.1,36.0,1.115,246.0,102.0,4
5.44,1.76,13.5,1.81,1.5,32.0,0.94,435.0,0.0,37.0,0.548,95.0,97.0,4
6.61,7.4,9.65,2.85,1.0,45.0,1.05,371.0,0.1,18.0,2.372,184.0,131.0,4
6.61,7.4,9.65,2.85,1.0,45.0,1.05,371.0,0.1,18.0,2.372,184.0,131.0,4
4.89,4.38,9.25,2.25,1.2,41.0,2.09,304.0,0.0,12.0,1.313,193.0,94.0,4
6.97,2.58,9.15,2.3,1.0,12.0,1.04,482.0,0.0,23.0,1.071,258.0,87.0,4
5.55,3.13,6.93,2.07,0.9,22.0,0.77,227.0,0.1,16.0,1.142,191.0,78.0,4
9.22,2.3,5.23,0.96,2.3,31.0,4.07,52.0,0.0,174.0,0.693,284.0,76.0,4
1.14,0.22,0.04,0.0,0.0,6.0,0.17,372.0,0.0,0.0,0.11,54.0,7.0,4
2.0,0.6,1.2,0.13,0.0,4.0,0.21,30.0,0.0,0.0,0.179,86.0,16.0,4
15.97,8.89,17.4,16.71,0.0,60.0,1.0,26000.0,0.0,10.0,4.32,446.0,213.0,4
16.7,13.89,64.88,14.47,0.2,187.0,1.03,1067.0,0.0,13.0,3.433,309.0,438.0,4
1.11,1.01,3.54,0.98,0.1,8.0,0.19,475.0,0.0,0.0,0.5,13.0,28.0,4
2.49,1.24,9.23,2.49,1.2,18.0,0.79,388.0,0.0,5.0,0.608,196.0,57.0,4
2.54,1.85,3.75,0.0,0.2,11.0,0.36,385.0,0.0,4.0,0.822,61.0,41.0,4
3.97,1.11,10.08,0.67,0.6,13.0,0.97,338.0,0.0,6.0,0.554,140.0,66.0,4
4.3,2.3,9.58,0.84,0.2,13.0,0.97,25.0,0.0,6.0,1.621,140.0,69.0,4
5.1,4.6,9.0,1.68,0.6,20.0,0.88,435.0,0.0,21.0,2.324,140.0,98.0,4
2.03,1.07,3.87,0.26,0.5,8.0,0.34,415.0,0.0,2.0,0.455,65.0,33.0,4
2.02,0.57,0.38,0.29,0.0,4.0,0.21,306.0,0.0,0.0,0.16,86.0,16.0,4
16.66,13.88,18.01,17.36,0.0,187.0,1.03,23875.0,0.0,13.0,3.43,309.0,267.0,4
2.0,0.6,1.2,0.13,0.0,4.0,0.21,30.0,0.0,0.0,0.179,86.0,16.0,4
1.08,0.59,3.43,1.02,0.8,10.0,0.37,391.0,0.0,2.0,0.13,31.0,23.0,4
3.09,1.16,4.0,0.38,0.8,11.0,0.35,306.0,0.0,5.0,0.408,117.0,39.0,4
2.59,1.94,6.03,0.54,0.3,9.0,1.35,706.0,0.0,11.0,0.542,44.0,52.0,4
1.27,0.95,2.95,0.27,0.2,6.0,0.66,349.0,0.0,5.0,0.262,22.0,25.0,4
5.06,2.64,6.88,0.87,0.6,10.0,0.69,354.0,0.0,12.0,0.79,70.0,71.0,4
5.11,1.33,5.41,0.6,0.4,14.0,0.78,370.0,0.0,5.0,0.4,45.0,53.0,4
1.16,4.46,5.2,0.64,0.3,15.0,0.16,416.0,0.0,7.0,1.636,73.0,65.0,4
1.8,1.3,9.5,0.39,0.4,11.0,0.2,357.0,0.0,6.0,0.5,272.0,58.0,4
2.38,5.77,7.16,0.54,0.0,14.0,1.06,702.0,0.0,8.0,1.697,49.0,90.0,4
3.24,2.02,7.46,2.81,0.3,70.0,1.21,273.0,0.6,7.0,1.094,179.0,61.0,4
1.55,1.01,5.05,0.19,0.3,9.0,1.22,254.0,0.0,3.0,0.468,108.0,35.0,4
2.33,4.23,5.68,0.0,0.8,14.0,0.56,194.0,0.0,3.0,0.701,337.0,70.0,4
1.11,2.07,3.27,0.24,0.1,9.0,0.21,391.0,0.0,7.0,1.29,24.0,36.0,4
1.14,0.22,0.04,0.0,0.0,6.0,0.17,372.0,0.0,0.0,0.11,54.0,7.0,4
24.1,4.9,43.5,35.8,7.7,81.0,6.3,5.0,0.0,0.0,3.465,222.0,314.0,1
1.93,5.71,5.42,0.78,0.4,20.0,0.47,424.0,0.0,2.0,1.41,109.0,79.0,4
3.8,2.4,6.16,0.01,0.3,6.0,0.7,18.0,0.0,3.0,1.003,81.0,53.0,4
3.75,2.36,4.81,0.21,0.4,6.0,0.7,560.0,0.0,3.0,1.153,81.0,53.0,4
3.8,2.4,6.16,0.01,0.3,6.0,0.7,18.0,0.0,3.0,1.003,81.0,53.0,4
12.56,9.51,0.72,0.37,0.0,56.0,1.75,142.0,2.0,372.0,3.126,138.0,143.0,1
12.53,10.57,1.12,1.12,0.0,50.0,1.19,278.0,2.2,372.0,3.254,126.0,154.0,3
10.9,0.17,0.73,0.71,0.0,7.0,0.08,166.0,0.0,0.0,0.0,163.0,52.0,1
15.86,26.54,3.59,0.56,0.0,129.0,2.73,48.0,5.4,1085.0,9.551,109.0,322.0,1
12.92,10.98,0.41,0.4,0.0,64.0,3.62,527.0,1.4,836.0,3.521,131.0,156.0,3
13.97,9.68,27.43,3.65,0.2,97.0,2.17,659.0,0.4,127.0,4.121,137.0,253.0,4
13.38,18.1,17.44,1.49,0.2,168.0,2.63,470.0,0.6,163.0,6.928,147.0,286.0,4
15.95,14.07,22.99,2.97,0.2,93.0,2.06,530.0,0.4,130.0,5.419,145.0,282.0,4
10.77,17.73,22.04,7.9,0.6,96.0,1.51,652.0,0.5,132.0,5.649,146.0,291.0,4
11.13,20.77,21.05,0.95,0.2,51.0,1.9,672.0,0.5,161.0,6.449,149.0,312.0,4
12.01,17.48,24.44,1.74,0.2,103.0,1.57,816.0,0.5,166.0,5.893,131.0,301.0,4
12.03,13.19,26.19,9.56,0.8,109.0,1.65,752.0,0.3,147.0,4.201,158.0,272.0,4
13.53,9.05,21.47,1.84,0.4,193.0,2.12,556.0,0.6,168.0,3.83,152.0,221.0,4
11.33,20.73,19.06,2.19,0.5,126.0,2.49,666.0,0.6,235.0,5.3,167.0,305.0,4
10.64,14.08,16.37,2.2,0.4,115.0,2.37,720.0,0.6,156.0,3.08,166.0,230.0,4
12.98,16.97,22.64,2.87,0.2,94.0,1.77,550.0,0.4,133.0,6.396,123.0,295.0,4
9.31,14.96,9.61,1.33,0.6,37.0,1.34,409.0,0.9,158.0,4.555,246.0,210.0,4
11.12,15.12,10.67,1.27,0.7,41.0,1.39,466.0,1.1,160.0,5.069,292.0,223.0,4
8.81,11.67,14.52,4.08,0.8,62.0,1.59,337.0,1.1,167.0,3.49,135.0,201.0,4
4.75,0.37,21.14,7.96,4.1,34.0,1.19,343.0,0.0,0.0,0.071,224.0,94.0,3
5.34,0.45,13.5,0.61,4.7,34.0,1.62,438.0,0.0,0.0,0.093,344.0,79.0,3
6.75,6.57,15.39,6.53,6.9,48.0,1.73,430.0,0.0,6.0,2.352,235.0,142.0,4
5.15,0.93,18.69,5.67,4.0,56.0,3.24,437.0,0.0,7.0,0.293,295.0,94.0,4
4.8,0.4,20.49,7.78,5.5,50.0,0.29,1.0,0.0,0.0,0.103,296.0,105.0,3
25.56,3.25,59.87,0.0,18.6,143.0,7.8,1745.0,0.0,4.0,1.084,1000.0,371.0,3
35.22,25.4,33.55,4.2,17.7,138.0,3.9,163.0,0.0,0.0,3.674,1470.0,471.0,3
26.5,7.35,53.15,1.8,3.5,171.0,5.2,842.0,0.0,0.0,1.102,7.0,385.0,4
6.55,3.69,1.8,0.7,0.2,111.0,1.11,8.0,0.0,0.0,0.533,120.0,61.0,3
12.5,8.1,6.9,1.6,0.0,188.0,5.6,20.0,0.0,0.0,1.172,199.0,151.0,4
11.69,6.01,26.47,6.2,5.4,57.0,2.49,3728.0,0.0,0.0,1.139,210.0,199.0,3
17.72,11.0,14.36,4.89,5.4,217.0,8.6,7.0,0.0,0.0,1.591,729.0,212.0,3
3.31,3.39,44.08,27.26,2.8,32.0,1.01,1615.0,0.0,3.0,0.568,119.0,220.0,4
6.28,0.04,7.61,1.7,0.8,19.0,1.93,5637.0,0.0,0.0,0.005,217.0,53.0,3
5.17,0.08,8.51,1.7,0.8,17.0,2.02,3333.0,0.0,0.0,0.01,180.0,53.0,3
3.5,1.8,15.96,1.24,0.2,118.0,1.06,35.0,0.0,0.0,0.259,47.0,94.0,4
5.93,0.02,15.56,14.1,0.1,25.0,1.7,3833.0,0.0,0.0,0.0,225.0,89.0,4
5.93,0.02,15.58,14.1,0.1,25.0,1.7,1778.0,0.0,0.0,0.0,225.0,89.0,4
0.0,0.0,19.46,10.03,0.0,107.0,5.3,980.0,0.0,0.0,0.0,800.0,78.0,4
17.19,20.18,10.49,2.72,3.9,372.0,4.87,16.0,0.0,0.0,2.918,146.0,271.0,3
31.0,9.0,49.0,0.0,5.1,880.0,7.0,1540.0,0.0,0.0,1.5,400.0,401.0,4
56.4,3.5,28.2,0.0,4.9,438.0,44.44,653.0,12.5,0.0,0.583,378.0,370.0,4
56.4,3.5,28.2,27.2,1.0,1764.0,44.44,653.0,10.0,0.0,0.583,378.0,388.0,4
19.75,2.82,62.29,36.68,2.8,282.0,7.62,169.0,0.0,2.0,2.822,325.0,354.0,4
30.0,14.0,45.0,27.0,2.0,200.0,3.6,450.0,0.0,8.0,4.499,250.0,422.0,4
28.0,12.0,48.73,34.0,4.0,200.0,9.0,150.0,1.6,1.0,1.149,440.0,415.0,4
14.71,5.88,65.44,31.62,7.4,368.0,6.62,195.0,0.0,0.0,1.471,412.0,346.0,4
28.57,14.3,48.34,20.0,8.6,429.0,5.14,386.0,1.2,0.0,5.446,913.0,436.0,4
31.67,10.0,48.9,29.73,8.3,981.0,9.45,600.0,1.0,1.0,8.631,142.0,412.0,4
4.4,3.08,11.88,2.64,2.2,110.0,1.98,92.0,1.1,2.0,0.232,176.0,88.0,4
3.45,2.39,15.19,7.03,0.0,118.0,1.77,78.0,1.0,0.0,0.248,145.0,96.0,4
3.43,2.38,16.36,4.68,1.1,136.0,1.75,78.0,1.0,0.0,0.152,144.0,101.0,4
5.16,4.52,19.88,19.88,0.0,79.0,1.79,95.0,1.0,2.0,0.574,175.0,141.0,4
3.49,3.25,14.01,0.0,0.0,50.0,0.95,60.0,0.5,0.0,0.911,95.0,99.0,4
4.51,18.64,22.68,7.62,0.9,29.0,0.82,247.0,0.0,0.0,2.774,57.0,261.0,4
3.24,14.75,25.16,7.12,3.6,31.0,1.76,232.0,0.0,0.0,3.504,272.0,237.0,4
5.25,5.52,21.67,10.79,2.3,32.0,1.19,476.0,0.2,17.0,1.813,215.0,154.0,4
