Model,F1 Score,MCC,Accuracy,Precision,Recall
LightGBM,0.9221407085472928,0.830613742752019,0.9242424242424242,0.9221791776740651,0.9242424242424242
GradientBoost,0.9014410422311164,0.7832135241793385,0.9040404040404041,0.9018222518222517,0.9040404040404041
RandomForest,0.8969837571746756,0.7758266285251334,0.9006734006734006,0.8962252146744126,0.9006734006734006
XGBoost,0.9241784107204668,0.8348740737822499,0.9259259259259259,0.9237526817385195,0.9259259259259259
ExtraTrees,0.900075686755511,0.7826518746254022,0.9040404040404041,0.8994820185647227,0.9040404040404041
MLP,0.8786988495557572,0.7342413416274447,0.8787878787878788,0.8798815577330028,0.8787878787878788
KNN,0.8294077279950978,0.6234585303903001,0.835016835016835,0.82977484960659,0.835016835016835
DecisionTree,0.8641702746203128,0.7027682837093233,0.8653198653198653,0.8655948241806828,0.8653198653198653
LogisticRegression,0.8173070074054254,0.6130724076534951,0.8367003367003367,0.8305778760548445,0.8367003367003367
SVM,0.7608696397178351,0.4975946723727238,0.797979797979798,0.7877611912965449,0.797979797979798
AdaBoost,0.7447055818949666,0.42567729594162224,0.7525252525252525,0.7418351459096257,0.7525252525252525
NaiveBayes,0.5881608065660737,0.35212142790334805,0.5168350168350169,0.8139922135584682,0.5168350168350169
